,level_0,index,GaiaEDR3,RA_ICRS,DE_ICRS,Plx,Pwd,PM,pmRA,pmDE,Gmag,BPmag,RPmag,TeffH,e_TeffH,loggH,e_loggH,MassH,TeffHe,e_TeffHe,loggHe,e_loggHe,MassHe,Teffmix,e_Teffmix,loggmix,e_loggmix,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,SDSS12,umag,gmag,rmag,imag,zmag,recno,spectype,l,b
0,8,431,3222350478553854464,84.246336024,0.37084590494,4.7258,0.996311,16.912,-8.269,-14.753,18.86829948425293,18.90329933166504,18.863100051879883,11744.48,1384.74,8.278647,0.233136,0.778235,11331.68,1274.48,8.154208,0.258888,0.677698,11043.41,1386.22,8.098136,0.317905,212.893265,203.874435,221.455383,211.828445,202.388489,223.079773,J053659.12+002215.1,19.261999130249023,18.840999603271484,18.94499969482422,19.100000381469727,19.347999572753906,120071,DA,203.86118034355923,-16.326235406128156
1,26,1273,286237751845802112,85.16199418842,62.3750839897,5.5243,0.996203,9.314,-0.61,-9.294,18.571699142456055,18.6481990814209,18.59239959716797,11291.59,615.37,8.269957,0.12045,0.771714,10904.07,577.62,8.142537,0.131435,0.669602,10601.44,609.88,8.071171,0.158961,181.237671,176.635559,185.172897,183.670135,179.220337,188.111801,J054038.87+622230.4,18.70199966430664,18.554000854492188,18.649999618530273,18.82200050354004,18.993999481201172,121675,DC,150.31528008490696,16.173937013970487
2,56,4230,286977585732431488,88.30786208774,63.80305422465,12.656,0.99472,102.149,-51.591,-88.163,17.881500244140625,18.04050064086914,17.667600631713867,8071.1,215.04,8.309474,0.067669,0.790951,7888.44,202.92,8.243776,0.069764,0.730606,7570.51,189.5,8.102548,0.07023,79.1611862,78.5160065,79.8051834,78.9394608,78.2903366,79.521286,J055313.96+634812.0,18.448999404907227,18.02400016784668,17.94099998474121,17.958999633789062,18.020000457763672,126996,DA,149.64379949399222,18.085206523062276
3,66,4970,558441062394445184,89.04127472232,83.96506078874,5.0625,0.998558,30.06,2.571,-29.949,18.343299865722656,18.342599868774414,18.44610023498535,13807.92,1180.51,8.243469,0.114255,0.759332,12967.41,904.05,8.153955,0.144657,0.679899,12857.39,942.93,8.147154,0.156529,197.508759,192.615295,201.846222,198.912064,194.507416,203.975616,J055609.87+835754.4,18.514999389648438,18.22100067138672,18.503999710083008,18.72100067138672,19.003999710083008,128133,DA,129.4286577555231,25.537933777549405
4,91,6461,1008228110854650880,90.63381719113,64.51105180128,9.2344,0.994186,70.104,12.972,-68.893,18.693300247192383,18.934200286865234,18.39229965209961,6990.94,275.16,8.046837,0.126805,0.620005,6860.28,274.73,7.978742,0.137876,0.561321,6644.37,282.75,7.825405,0.11318,108.355057,106.504875,110.632454,109.493614,107.86554,132.038864,J060232.09+643040.5,19.433000564575195,18.913000106811523,18.724000930786133,18.65999984741211,18.69099998474121,130380,DA,149.39482528075243,19.29901670680415
5,94,6547,1008040609762580864,90.73325227379,63.38468903638,4.1992,0.994661,7.469,3.708,6.484,18.604999542236328,18.636699676513672,18.572500228881836,12578.75,961.12,7.921055,0.136747,0.562046,12506.38,767.48,7.868533,0.150845,0.511687,12376.62,835.46,7.8541,0.165754,236.038666,227.242889,247.041519,226.912323,221.671631,233.092667,J060255.98+632304.8,19.100000381469727,18.558000564575195,18.679000854492188,18.81100082397461,19.05900001525879,130505,DA,150.51026603395226,18.899503825529266
6,107,7402,1143757732321380992,91.57041656435,82.99508772295,3.7006,0.999748,41.599,28.153,-30.624,18.152299880981445,18.10770034790039,18.345800399780273,19414.55,2132.05,8.049622,0.167344,0.650867,20238.73,2868.83,8.192303,0.186155,0.713733,20194.85,2916.93,8.196364,0.188398,270.9729,262.887726,279.113342,270.198273,262.063568,278.329193,J060616.78+825942.5,18.14299964904785,17.98699951171875,18.30699920654297,18.618000030517578,18.884000778198242,131744,DA,130.54948747187493,25.552181133546238
7,131,9344,1008462341192383488,93.45799121668,64.85147964243,4.2748,0.998302,23.272,-8.201,-21.779,18.18829917907715,18.16990089416504,18.233600616455078,15353.97,1290.49,7.931539,0.14233,0.574786,14858.22,1219.88,7.924588,0.161402,0.546702,14756.24,1193.77,7.925114,0.160966,234.230118,227.723969,240.406586,237.128326,229.510513,243.804718,J061349.93+645105.5,18.33799934387207,18.07200050354004,18.34600067138672,18.56800079345703,18.774999618530273,134470,DA,149.53081549830952,20.547193749648695
8,148,11059,1143693887630730240,95.12879862718,82.79028250849,12.0712,0.992662,28.426,-0.747,-28.416,17.878799438476562,18.061199188232422,17.616300582885742,7540.02,156.07,8.082499,0.060818,0.643489,7393.38,150.16,8.016188,0.063986,0.5848,7092.36,134.34,7.863237,0.066247,82.766922,82.1961212,83.2979202,82.8204803,82.213089,83.3994217,J062030.89+824725.2,18.566999435424805,18.049999237060547,17.93400001525879,17.889999389648438,17.97599983215332,136897,DA,130.88071091436234,25.93515925409695
9,153,11173,1104510836567835776,95.24404860674,65.11908142407,5.648,0.997405,91.213,-88.584,-21.744,17.87459945678711,17.8882999420166,17.896400451660156,12146.73,420.76,7.94995,0.06905,0.577197,12055.71,380.67,7.873139,0.085158,0.51323,11866.85,438.77,7.843943,0.084462,176.88327,172.684769,181.019852,177.259186,173.711823,180.461182,J062058.72+650708.8,18.180999755859375,17.791000366210938,17.988000869750977,18.160999298095703,18.413999557495117,137071,DA,149.53104052002777,21.34840488565124
10,224,18174,943646680488826368,101.97617131875,36.56392192206,4.7094,0.998642,21.863,-15.793,-15.119,18.488500595092773,18.472999572753906,18.648099899291992,17961.43,3144.65,8.490458,0.231677,0.923864,18215.47,5043.95,8.585589,0.400108,0.964588,18149.59,5111.01,8.588743,0.400334,211.39949,203.598907,218.362442,224.968277,217.427399,233.585663,J064754.29+363350.3,18.55500030517578,18.347999572753906,18.614999771118164,18.8439998626709,18.990999221801758,147132,DA,179.22058447157633,15.106763847713966
11,228,18298,943699663205935360,102.10850719972,37.13031133582,3.4098,0.996764,20.959,8.519,-19.149,18.700199127197266,18.729900360107422,18.754100799560547,12935.1,1421.85,7.760971,0.212518,0.479521,12652.86,1181.24,7.742541,0.231787,0.472206,12531.27,1265.94,7.733065,0.253529,296.843323,273.660278,318.370941,287.159943,267.371887,306.254761,J064826.03+370749.3,18.98900032043457,18.57200050354004,18.81100082397461,19.035999298095703,19.291000366210938,147328,DA,178.72139938331367,15.423149225909002
12,241,18821,944149092879368320,102.60616163976,37.90967274641,8.0108,0.999771,13.871,-10.142,-9.463,16.43709945678711,16.369600296020508,16.613399505615234,19453.98,757.17,8.052263,0.054348,0.652489,20419.02,998.37,8.203424,0.058251,0.720951,20395.88,1016.74,8.208527,0.05892,124.713745,123.931046,125.562012,125.056419,124.293846,125.818459,J065025.48+375434.8,16.31999969482422,16.229999542236328,16.579999923706055,16.891000747680664,17.18400001525879,148071,DA,178.12872564655444,16.08483611095452
13,251,19321,944109579180360576,103.08814679304,37.82160936165,3.6413,0.998172,12.193,-10.955,-5.353,18.474700927734375,18.456499099731445,18.520299911499023,14154.52,1778.76,7.826303,0.224016,0.515635,13909.52,1665.36,7.813757,0.247332,0.486194,13827.83,1655.13,7.814575,0.25097,277.163971,263.309113,288.843719,270.881805,260.786743,284.455841,J065221.15+374917.8,18.291000366210938,18.3439998626709,18.597000122070312,18.85300064086914,19.107999801635742,148825,DB,178.36240509103217,16.404532109064142
14,304,23894,947510299926167040,107.3184055228,39.67760568506,8.3835,0.999786,50.997,14.974,-48.749,16.544300079345703,16.486600875854492,16.662799835205078,16239.64,686.02,7.971841,0.063434,0.599371,15775.43,759.26,7.993593,0.089888,0.587209,15677.77,772.07,7.995693,0.091696,119.333618,118.240173,120.278267,119.459595,118.400734,120.282272,J070916.40+394039.7,16.29599952697754,16.378000259399414,16.70400047302246,16.940000534057617,17.204999923706055,155680,DB,177.74891378488306,20.144191999048076
